name,loss,accuracy,runtime
relu,0.13504810631275177,0.9621000289916992,5.664844071865081
elu,0.1397543102502823,0.9627000093460083,6.083645939826965
gelu,0.13621845841407776,0.9610000252723694,11.9758864680926
hard_sigmoid,0.3781367540359497,0.9000999927520752,8.503076759974162
linear,0.5233621001243591,0.9391999840736389,5.4130241473515825
selu,0.14369934797286987,0.963699996471405,6.285386419296264
sigmoid,0.4045056700706482,0.8938999772071838,6.830347271760305
softplus,0.13617606461048126,0.9591000080108643,7.147448027133942
softsign,0.20193001627922058,0.945900022983551,7.369678564866384
swish,0.12921057641506195,0.9617999792098999,8.518928865591684
tanh,0.17064765095710754,0.953000009059906,6.133960787455241
